W(MeV)	Re(0)+	Im(0)+	Re(0)-	Im(0)-
      	   -0.049	   -0.001	    0.038	    0.007
      	   -0.015	    0.000	    0.157	    0.011
      	    0.000	    0.000	    0.025	    0.000
      	    0.009	    0.000	    0.001	    0.000
      	    0.001	    0.000	   -0.031	    0.000
      	    0.000	    0.000	   -0.006	    0.000
      	   -0.002	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.001	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1250.0	    0.852	    0.159	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.921	   -0.172	    0.000	    0.000
      	    0.060	   -0.003	    0.000	    0.000
      	    0.202	   -0.011	   -1.127	   -0.096
      	   -0.069	    0.003	    0.839	    0.059
      	    0.005	    0.000	   -0.183	   -0.019
      	   -0.049	   -0.001	    0.040	    0.007
      	   -0.015	    0.000	    0.159	    0.012
      	    0.000	    0.000	    0.025	   -0.001
      	    0.009	    0.000	    0.002	    0.000
      	    0.000	    0.000	   -0.032	    0.000
      	    0.000	    0.000	   -0.006	    0.000
      	   -0.002	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1255.0	    0.858	    0.162	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.907	   -0.171	    0.000	    0.000
      	    0.062	   -0.003	    0.000	    0.000
      	    0.200	   -0.012	   -1.134	   -0.111
      	   -0.071	    0.004	    0.836	    0.068
      	    0.005	    0.000	   -0.187	   -0.021
      	   -0.050	   -0.001	    0.042	    0.008
      	   -0.016	    0.000	    0.161	    0.013
      	    0.000	    0.000	    0.025	   -0.001
      	    0.009	    0.000	    0.002	    0.000
      	    0.000	    0.000	   -0.032	    0.000
      	    0.000	    0.000	   -0.006	    0.000
      	   -0.002	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1260.0	    0.864	    0.164	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.893	   -0.170	    0.000	    0.000
      	    0.063	   -0.003	    0.000	    0.000
      	    0.198	   -0.012	   -1.140	   -0.127
      	   -0.073	    0.004	    0.833	    0.076
      	    0.006	    0.000	   -0.192	   -0.023
      	   -0.050	   -0.001	    0.044	    0.009
      	   -0.016	    0.000	    0.164	    0.014
      	    0.000	    0.000	    0.026	   -0.001
      	    0.009	    0.000	    0.002	    0.000
      	    0.000	    0.000	   -0.032	    0.000
      	    0.000	    0.000	   -0.006	    0.000
      	   -0.003	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1265.0	    0.870	    0.167	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.880	   -0.169	    0.000	    0.000
      	    0.064	   -0.003	    0.000	    0.000
      	    0.195	   -0.012	   -1.146	   -0.144
      	   -0.075	    0.004	    0.829	    0.085
      	    0.006	    0.000	   -0.197	   -0.024
      	   -0.051	   -0.001	    0.047	    0.010
      	   -0.016	    0.000	    0.166	    0.015
      	    0.001	    0.000	    0.026	   -0.001
      	    0.009	    0.000	    0.002	    0.000
      	    0.000	    0.000	   -0.033	   -0.001
      	    0.000	    0.000	   -0.006	    0.000
      	   -0.003	    0.000	    0.000	    0.000
      	   -0.001	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1270.0	    0.876	    0.170	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.867	   -0.168	    0.000	    0.000
      	    0.065	   -0.003	    0.000	    0.000
      	    0.192	   -0.012	   -1.151	   -0.163
      	   -0.076	    0.004	    0.825	    0.095
      	    0.006	    0.000	   -0.201	   -0.026
      	   -0.051	   -0.001	    0.049	    0.011
      	   -0.016	    0.000	    0.168	    0.016
      	    0.001	    0.000	    0.026	   -0.001
      	    0.010	    0.000	    0.002	    0.000
      	    0.000	    0.000	   -0.033	   -0.001
      	    0.000	    0.000	   -0.006	    0.000
      	   -0.003	    0.000	    0.000	    0.000
      	   -0.001	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1275.0	    0.883	    0.173	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.854	   -0.167	    0.000	    0.000
      	    0.067	   -0.003	    0.000	    0.000
      	    0.190	   -0.013	   -1.156	   -0.183
      	   -0.078	    0.004	    0.819	    0.105
      	    0.006	    0.000	   -0.206	   -0.028
      	   -0.052	   -0.001	    0.051	    0.012
      	   -0.016	    0.000	    0.170	    0.017
      	    0.001	    0.000	    0.026	   -0.001
      	    0.010	    0.000	    0.002	    0.000
      	    0.000	    0.000	   -0.034	   -0.001
      	    0.000	    0.000	   -0.007	    0.000
      	   -0.003	    0.000	    0.000	    0.000
      	   -0.001	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1280.0	    0.889	    0.176	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.841	   -0.166	    0.000	    0.000
      	    0.068	   -0.003	    0.000	    0.000
      	    0.187	   -0.013	   -1.159	   -0.204
      	   -0.079	    0.004	    0.813	    0.116
      	    0.006	    0.000	   -0.211	   -0.031
      	   -0.052	   -0.001	    0.054	    0.014
      	   -0.016	    0.000	    0.172	    0.018
      	    0.001	    0.000	    0.027	   -0.001
      	    0.010	    0.000	    0.002	    0.000
      	    0.000	    0.000	   -0.034	   -0.001
      	    0.000	    0.000	   -0.007	    0.000
      	   -0.003	    0.000	    0.000	    0.000
      	   -0.001	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1285.0	    0.896	    0.179	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.829	   -0.165	    0.000	    0.000
      	    0.069	   -0.004	    0.000	    0.000
      	    0.184	   -0.013	   -1.162	   -0.227
      	   -0.081	    0.005	    0.807	    0.127
      	    0.006	    0.000	   -0.216	   -0.033
      	   -0.053	   -0.001	    0.057	    0.015
      	   -0.017	    0.000	    0.174	    0.019
      	    0.001	    0.000	    0.027	   -0.001
      	    0.010	    0.000	    0.003	    0.000
      	    0.000	    0.000	   -0.035	   -0.001
      	    0.000	    0.000	   -0.007	    0.000
      	   -0.003	    0.000	    0.000	    0.000
      	   -0.001	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1290.0	    0.904	    0.182	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.817	   -0.164	    0.000	    0.000
      	    0.071	   -0.004	    0.000	    0.000
      	    0.181	   -0.013	   -1.163	   -0.252
      	   -0.083	    0.005	    0.799	    0.138
      	    0.006	    0.000	   -0.221	   -0.036
      	   -0.053	   -0.001	    0.059	    0.017
      	   -0.017	    0.000	    0.177	    0.021
      	    0.001	    0.000	    0.027	   -0.001
      	    0.010	    0.000	    0.003	    0.000
      	    0.000	    0.000	   -0.035	   -0.001
      	    0.000	    0.000	   -0.007	    0.000
      	   -0.003	    0.000	    0.000	    0.000
      	   -0.001	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1295.0	    0.911	    0.185	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.805	   -0.163	    0.000	    0.000
      	    0.072	   -0.004	    0.000	    0.000
      	    0.178	   -0.013	   -1.162	   -0.278
      	   -0.084	    0.005	    0.790	    0.150
      	    0.006	    0.000	   -0.227	   -0.038
      	   -0.054	   -0.001	    0.062	    0.018
      	   -0.017	    0.000	    0.179	    0.022
      	    0.001	    0.000	    0.027	   -0.001
      	    0.010	    0.000	    0.003	    0.000
      	    0.000	    0.000	   -0.036	   -0.001
      	    0.000	    0.000	   -0.007	    0.000
      	   -0.003	    0.000	    0.000	    0.000
      	   -0.001	    0.000	    0.007	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1300.0	    0.918	    0.189	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.794	   -0.163	    0.000	    0.000
      	    0.073	   -0.004	    0.000	    0.000
      	    0.175	   -0.013	   -1.159	   -0.306
      	   -0.086	    0.005	    0.780	    0.162
      	    0.006	    0.000	   -0.232	   -0.041
      	   -0.054	   -0.001	    0.065	    0.020
      	   -0.017	    0.000	    0.181	    0.024
      	    0.001	    0.000	    0.027	   -0.001
      	    0.010	    0.000	    0.003	    0.000
      	    0.000	    0.000	   -0.036	   -0.001
      	    0.000	    0.000	   -0.007	    0.000
      	   -0.003	    0.000	    0.000	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1305.0	    0.926	    0.192	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.783	   -0.162	    0.000	    0.000
      	    0.075	   -0.004	    0.000	    0.000
      	    0.172	   -0.014	   -1.155	   -0.335
      	   -0.087	    0.005	    0.768	    0.173
      	    0.007	    0.000	   -0.238	   -0.044
      	   -0.055	   -0.001	    0.069	    0.022
      	   -0.017	    0.000	    0.184	    0.025
      	    0.001	    0.000	    0.028	   -0.001
      	    0.010	    0.000	    0.003	    0.000
      	    0.000	    0.000	   -0.037	   -0.001
      	    0.000	    0.000	   -0.007	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1310.0	    0.934	    0.196	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.772	   -0.162	    0.000	    0.000
      	    0.076	   -0.004	    0.000	    0.000
      	    0.169	   -0.014	   -1.148	   -0.365
      	   -0.089	    0.005	    0.756	    0.185
      	    0.007	    0.000	   -0.244	   -0.048
      	   -0.055	   -0.001	    0.072	    0.024
      	   -0.017	    0.000	    0.186	    0.027
      	    0.001	    0.000	    0.028	   -0.001
      	    0.010	    0.000	    0.003	    0.000
      	    0.000	    0.000	   -0.037	   -0.001
      	    0.000	    0.000	   -0.007	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1315.0	    0.942	    0.200	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.761	   -0.161	    0.000	    0.000
      	    0.077	   -0.004	    0.000	    0.000
      	    0.165	   -0.014	   -1.138	   -0.397
      	   -0.090	    0.006	    0.742	    0.197
      	    0.007	    0.000	   -0.250	   -0.051
      	   -0.056	   -0.002	    0.075	    0.026
      	   -0.018	    0.000	    0.189	    0.029
      	    0.001	    0.000	    0.028	   -0.001
      	    0.010	    0.000	    0.004	    0.000
      	    0.000	    0.000	   -0.038	   -0.001
      	    0.000	    0.000	   -0.007	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1320.0	    0.951	    0.204	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.751	   -0.161	    0.000	    0.000
      	    0.079	   -0.004	    0.000	    0.000
      	    0.162	   -0.014	   -1.125	   -0.429
      	   -0.092	    0.006	    0.727	    0.208
      	    0.007	    0.000	   -0.256	   -0.055
      	   -0.056	   -0.002	    0.079	    0.029
      	   -0.018	   -0.001	    0.192	    0.031
      	    0.001	    0.000	    0.028	   -0.001
      	    0.010	    0.000	    0.004	    0.000
      	    0.000	    0.000	   -0.038	   -0.001
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1325.0	    0.959	    0.208	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.741	   -0.161	    0.000	    0.000
      	    0.080	   -0.004	    0.000	    0.000
      	    0.158	   -0.014	   -1.110	   -0.462
      	   -0.093	    0.006	    0.710	    0.218
      	    0.007	    0.000	   -0.262	   -0.059
      	   -0.057	   -0.002	    0.083	    0.032
      	   -0.018	   -0.001	    0.195	    0.033
      	    0.001	    0.000	    0.028	   -0.001
      	    0.010	    0.000	    0.004	    0.000
      	    0.000	    0.000	   -0.039	   -0.001
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1330.0	    0.968	    0.213	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.732	   -0.160	    0.000	    0.000
      	    0.081	   -0.004	    0.000	    0.000
      	    0.155	   -0.014	   -1.090	   -0.496
      	   -0.095	    0.006	    0.691	    0.228
      	    0.007	    0.000	   -0.269	   -0.063
      	   -0.057	   -0.002	    0.087	    0.035
      	   -0.018	   -0.001	    0.198	    0.035
      	    0.001	    0.000	    0.028	   -0.001
      	    0.010	    0.000	    0.004	    0.000
      	   -0.001	    0.000	   -0.039	   -0.002
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1335.0	    0.978	    0.217	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.722	   -0.160	    0.000	    0.000
      	    0.083	   -0.004	    0.000	    0.000
      	    0.151	   -0.014	   -1.066	   -0.529
      	   -0.096	    0.006	    0.672	    0.236
      	    0.007	    0.000	   -0.276	   -0.068
      	   -0.058	   -0.002	    0.092	    0.038
      	   -0.018	   -0.001	    0.201	    0.038
      	    0.001	    0.000	    0.028	   -0.001
      	    0.010	    0.000	    0.005	    0.000
      	   -0.001	    0.000	   -0.040	   -0.002
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1340.0	    0.987	    0.222	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.713	   -0.160	    0.000	    0.000
      	    0.084	   -0.005	    0.000	    0.000
      	    0.148	   -0.014	   -1.039	   -0.561
      	   -0.098	    0.006	    0.651	    0.242
      	    0.007	    0.000	   -0.283	   -0.073
      	   -0.058	   -0.002	    0.096	    0.041
      	   -0.018	   -0.001	    0.204	    0.040
      	    0.001	    0.000	    0.028	   -0.002
      	    0.010	    0.000	    0.005	    0.000
      	   -0.001	    0.000	   -0.040	   -0.002
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1345.0	    0.997	    0.227	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.705	   -0.161	    0.000	    0.000
      	    0.086	   -0.005	    0.000	    0.000
      	    0.144	   -0.015	   -1.008	   -0.592
      	   -0.099	    0.006	    0.629	    0.247
      	    0.007	    0.000	   -0.291	   -0.079
      	   -0.059	   -0.002	    0.101	    0.045
      	   -0.018	   -0.001	    0.208	    0.043
      	    0.001	    0.000	    0.028	   -0.002
      	    0.010	    0.000	    0.005	    0.000
      	   -0.001	    0.000	   -0.041	   -0.002
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1350.0	    1.007	    0.233	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.697	   -0.161	    0.000	    0.000
      	    0.087	   -0.005	    0.000	    0.000
      	    0.140	   -0.015	   -0.973	   -0.621
      	   -0.101	    0.007	    0.606	    0.249
      	    0.008	    0.000	   -0.299	   -0.085
      	   -0.059	   -0.002	    0.106	    0.050
      	   -0.019	   -0.001	    0.211	    0.046
      	    0.001	    0.000	    0.028	   -0.002
      	    0.010	    0.000	    0.005	    0.000
      	   -0.001	    0.000	   -0.042	   -0.002
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1355.0	    1.018	    0.239	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.689	   -0.161	    0.000	    0.000
      	    0.089	   -0.005	    0.000	    0.000
      	    0.136	   -0.015	   -0.935	   -0.648
      	   -0.102	    0.007	    0.583	    0.250
      	    0.008	    0.000	   -0.307	   -0.091
      	   -0.060	   -0.002	    0.111	    0.054
      	   -0.019	   -0.001	    0.215	    0.049
      	    0.001	    0.000	    0.028	   -0.002
      	    0.010	    0.000	    0.006	    0.000
      	   -0.001	    0.000	   -0.042	   -0.002
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1360.0	    1.029	    0.245	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.681	   -0.162	    0.000	    0.000
      	    0.090	   -0.005	    0.000	    0.000
      	    0.132	   -0.015	   -0.893	   -0.671
      	   -0.104	    0.007	    0.559	    0.247
      	    0.008	    0.000	   -0.315	   -0.098
      	   -0.061	   -0.002	    0.117	    0.059
      	   -0.019	   -0.001	    0.219	    0.053
      	    0.001	    0.000	    0.028	   -0.002
      	    0.010	    0.000	    0.006	    0.000
      	   -0.001	    0.000	   -0.043	   -0.002
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1365.0	    1.040	    0.251	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.674	   -0.163	    0.000	    0.000
      	    0.092	   -0.005	    0.000	    0.000
      	    0.128	   -0.015	   -0.850	   -0.691
      	   -0.105	    0.007	    0.536	    0.243
      	    0.008	    0.000	   -0.324	   -0.106
      	   -0.061	   -0.002	    0.123	    0.065
      	   -0.019	   -0.001	    0.223	    0.056
      	    0.001	    0.000	    0.027	   -0.002
      	    0.010	    0.000	    0.006	    0.000
      	   -0.001	    0.000	   -0.043	   -0.003
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1370.0	    1.052	    0.258	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.667	   -0.164	    0.000	    0.000
      	    0.093	   -0.005	    0.000	    0.000
      	    0.124	   -0.015	   -0.804	   -0.706
      	   -0.106	    0.007	    0.514	    0.236
      	    0.008	    0.000	   -0.333	   -0.114
      	   -0.062	   -0.002	    0.129	    0.071
      	   -0.019	   -0.001	    0.228	    0.060
      	    0.001	    0.000	    0.027	   -0.002
      	    0.010	    0.000	    0.007	    0.000
      	   -0.001	    0.000	   -0.044	   -0.003
      	    0.000	    0.000	   -0.008	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1375.0	    1.063	    0.266	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.660	   -0.165	    0.000	    0.000
      	    0.095	   -0.005	    0.000	    0.000
      	    0.120	   -0.015	   -0.759	   -0.717
      	   -0.108	    0.007	    0.494	    0.226
      	    0.008	    0.000	   -0.343	   -0.123
      	   -0.062	   -0.003	    0.135	    0.078
      	   -0.019	   -0.001	    0.232	    0.065
      	    0.001	    0.000	    0.027	   -0.002
      	    0.010	    0.000	    0.007	    0.000
      	   -0.001	    0.000	   -0.045	   -0.003
      	    0.000	    0.000	   -0.009	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1380.0	    1.076	    0.274	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.654	   -0.167	    0.000	    0.000
      	    0.097	   -0.005	    0.000	    0.000
      	    0.116	   -0.015	   -0.713	   -0.724
      	   -0.109	    0.007	    0.475	    0.216
      	    0.008	    0.000	   -0.353	   -0.132
      	   -0.063	   -0.003	    0.142	    0.085
      	   -0.020	   -0.001	    0.237	    0.070
      	    0.001	    0.000	    0.027	   -0.002
      	    0.010	    0.000	    0.008	    0.000
      	   -0.001	    0.000	   -0.046	   -0.003
      	    0.000	    0.000	   -0.009	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1385.0	    1.089	    0.282	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.648	   -0.168	    0.000	    0.000
      	    0.098	   -0.004	    0.000	    0.000
      	    0.112	   -0.015	   -0.668	   -0.726
      	   -0.111	    0.007	    0.457	    0.203
      	    0.008	    0.000	   -0.363	   -0.143
      	   -0.063	   -0.003	    0.149	    0.093
      	   -0.020	   -0.001	    0.242	    0.075
      	    0.001	    0.000	    0.027	   -0.002
      	    0.010	    0.000	    0.008	    0.000
      	   -0.001	    0.000	   -0.046	   -0.004
      	    0.000	    0.000	   -0.009	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1390.0	    1.102	    0.291	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.643	   -0.170	    0.000	    0.000
      	    0.100	   -0.004	    0.000	    0.000
      	    0.107	   -0.015	   -0.624	   -0.724
      	   -0.112	    0.007	    0.442	    0.190
      	    0.008	    0.000	   -0.373	   -0.155
      	   -0.064	   -0.003	    0.156	    0.102
      	   -0.020	   -0.001	    0.247	    0.081
      	    0.001	    0.000	    0.026	   -0.003
      	    0.010	    0.000	    0.008	    0.000
      	   -0.001	    0.000	   -0.047	   -0.004
      	    0.000	    0.000	   -0.009	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1395.0	    1.116	    0.301	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.637	   -0.173	    0.000	    0.000
      	    0.102	   -0.004	    0.000	    0.000
      	    0.103	   -0.016	   -0.582	   -0.719
      	   -0.114	    0.007	    0.429	    0.175
      	    0.008	    0.000	   -0.384	   -0.168
      	   -0.064	   -0.003	    0.163	    0.112
      	   -0.020	   -0.001	    0.252	    0.087
      	    0.001	    0.000	    0.026	   -0.003
      	    0.010	    0.000	    0.009	    0.000
      	   -0.001	    0.000	   -0.048	   -0.004
      	    0.000	    0.000	   -0.009	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.002	    0.000
1400.0	    1.130	    0.312	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.633	   -0.176	    0.000	    0.000
      	    0.104	   -0.004	    0.000	    0.000
      	    0.099	   -0.016	   -0.543	   -0.710
      	   -0.115	    0.007	    0.418	    0.161
      	    0.008	    0.000	   -0.396	   -0.182
      	   -0.065	   -0.003	    0.171	    0.123
      	   -0.020	   -0.001	    0.258	    0.094
      	    0.001	    0.000	    0.026	   -0.003
      	    0.010	    0.000	    0.009	    0.000
      	   -0.001	    0.000	   -0.049	   -0.004
      	    0.000	    0.000	   -0.009	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.002	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.003	    0.000
1405.0	    1.145	    0.323	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.629	   -0.179	    0.000	    0.000
      	    0.106	   -0.004	    0.000	    0.000
      	    0.094	   -0.016	   -0.506	   -0.698
      	   -0.117	    0.007	    0.409	    0.146
      	    0.009	    0.000	   -0.407	   -0.197
      	   -0.066	   -0.003	    0.179	    0.135
      	   -0.020	   -0.001	    0.263	    0.102
      	    0.001	    0.000	    0.025	   -0.003
      	    0.010	    0.000	    0.010	    0.000
      	   -0.001	    0.000	   -0.050	   -0.005
      	    0.000	    0.000	   -0.009	    0.000
      	   -0.003	    0.000	    0.001	    0.000
      	   -0.001	    0.000	    0.008	    0.000
      	    0.000	    0.000	    0.003	    0.000
      	    0.001	    0.000	    0.000	    0.000
      	    0.000	    0.000	   -0.003	    0.000
1410.0	    1.161	    0.335	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	   -0.625	   -0.182	    0.000	    0.000
      	    0.108	   -0.004	    0.000	    0.000
      	    0.089	   -0.016	   -0.472	   -0.685
      	   -0.119	    0.007	    0.401	    0.132
      	    0.009	    0.000	   -0.419	   -0.215
      	   -0.066	   -0.003	    0.187	    0.148
      	   -0.020	   -0.001	    0.269	    0.110
      	    0.001	    0.000	    0.025	   -0.003
      	    0.010	    0.000	    0.010	    0.000
      	   -0.001	    0.000	   -0.051	   -0.005
      	    0.000	    0.000	   -0.009	    0.000
