W(MeV)	Re(-)+	Im(-)+	Re(-)-	Im(-)-
      	    0.013	    0.000	    0.000	    0.000
      	    0.002	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.005	    0.000
      	   -0.004	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1250.0	    2.300	    0.389	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.323	   -0.205	    0.000	    0.000
      	    0.257	    0.054	    0.000	    0.000
      	    1.032	   -5.368	   -1.767	   -0.175
      	    0.099	    0.338	    3.010	    0.173
      	    0.045	    0.000	    0.562	    0.021
      	    0.239	    0.001	    0.011	    0.007
      	    0.054	    0.000	   -0.051	   -0.012
      	    0.013	    0.000	   -0.071	    0.001
      	   -0.061	    0.000	    0.014	    0.001
      	    0.008	    0.000	   -0.004	    0.000
      	    0.001	    0.000	    0.020	    0.000
      	    0.014	    0.000	    0.000	    0.000
      	    0.002	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.005	    0.000
      	   -0.004	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1255.0	    2.303	    0.389	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.313	   -0.216	    0.000	    0.000
      	    0.261	    0.035	    0.000	    0.000
      	    1.279	   -5.000	   -1.745	   -0.194
      	    0.091	    0.300	    3.043	    0.208
      	    0.047	    0.001	    0.571	    0.022
      	    0.240	    0.001	    0.013	    0.008
      	    0.055	    0.000	   -0.053	   -0.013
      	    0.014	    0.000	   -0.071	    0.001
      	   -0.062	    0.000	    0.015	    0.001
      	    0.008	    0.000	   -0.005	    0.000
      	    0.002	    0.000	    0.020	    0.000
      	    0.014	    0.000	    0.000	    0.000
      	    0.002	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.005	    0.000
      	   -0.004	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1260.0	    2.307	    0.388	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.302	   -0.226	    0.000	    0.000
      	    0.267	    0.018	    0.000	    0.000
      	    1.467	   -4.645	   -1.723	   -0.214
      	    0.088	    0.264	    3.075	    0.246
      	    0.048	    0.001	    0.579	    0.024
      	    0.241	    0.001	    0.015	    0.009
      	    0.057	    0.000	   -0.055	   -0.014
      	    0.014	    0.000	   -0.072	    0.001
      	   -0.063	    0.000	    0.015	    0.001
      	    0.009	    0.000	   -0.005	    0.000
      	    0.002	    0.000	    0.020	    0.000
      	    0.014	    0.000	    0.000	    0.000
      	    0.002	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.005	    0.000
      	   -0.004	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1265.0	    2.310	    0.388	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.291	   -0.237	    0.000	    0.000
      	    0.275	    0.003	    0.000	    0.000
      	    1.604	   -4.309	   -1.700	   -0.235
      	    0.089	    0.232	    3.105	    0.287
      	    0.050	    0.001	    0.588	    0.026
      	    0.242	    0.001	    0.017	    0.010
      	    0.058	    0.001	   -0.057	   -0.015
      	    0.014	    0.000	   -0.072	    0.001
      	   -0.063	    0.000	    0.016	    0.001
      	    0.009	    0.000	   -0.006	    0.000
      	    0.002	    0.000	    0.021	    0.000
      	    0.014	    0.000	    0.000	    0.000
      	    0.003	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.005	    0.000
      	   -0.004	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1270.0	    2.314	    0.387	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.279	   -0.247	    0.000	    0.000
      	    0.282	   -0.010	    0.000	    0.000
      	    1.701	   -3.995	   -1.676	   -0.257
      	    0.092	    0.203	    3.135	    0.333
      	    0.052	    0.001	    0.597	    0.028
      	    0.243	    0.001	    0.019	    0.011
      	    0.060	    0.001	   -0.059	   -0.016
      	    0.015	    0.000	   -0.073	    0.001
      	   -0.064	    0.000	    0.017	    0.001
      	    0.010	    0.000	   -0.006	    0.000
      	    0.002	    0.000	    0.021	    0.000
      	    0.014	    0.000	    0.000	    0.000
      	    0.003	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.005	    0.000
      	   -0.004	    0.000	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
1275.0	    2.318	    0.387	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.267	   -0.257	    0.000	    0.000
      	    0.291	   -0.022	    0.000	    0.000
      	    1.766	   -3.704	   -1.651	   -0.279
      	    0.098	    0.176	    3.163	    0.382
      	    0.054	    0.001	    0.606	    0.030
      	    0.244	    0.001	    0.021	    0.012
      	    0.061	    0.001	   -0.061	   -0.018
      	    0.015	    0.000	   -0.073	    0.001
      	   -0.065	    0.000	    0.018	    0.001
      	    0.010	    0.000	   -0.007	    0.000
      	    0.002	    0.000	    0.022	    0.000
      	    0.015	    0.000	    0.000	    0.000
      	    0.003	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.005	    0.000
      	   -0.004	    0.000	    0.000	    0.000
      	    0.001	    0.000	    0.000	    0.000
1280.0	    2.322	    0.387	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.254	   -0.267	    0.000	    0.000
      	    0.300	   -0.032	    0.000	    0.000
      	    1.805	   -3.435	   -1.624	   -0.302
      	    0.105	    0.152	    3.188	    0.437
      	    0.055	    0.001	    0.614	    0.033
      	    0.244	    0.001	    0.024	    0.014
      	    0.063	    0.001	   -0.063	   -0.019
      	    0.016	    0.000	   -0.073	    0.001
      	   -0.066	    0.000	    0.018	    0.001
      	    0.011	    0.000	   -0.008	    0.000
      	    0.002	    0.000	    0.022	    0.000
      	    0.015	    0.000	    0.000	    0.000
      	    0.003	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.005	    0.000
      	   -0.004	    0.000	    0.000	    0.000
      	    0.001	    0.000	    0.000	    0.000
1285.0	    2.326	    0.388	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.241	   -0.277	    0.000	    0.000
      	    0.308	   -0.041	    0.000	    0.000
      	    1.823	   -3.189	   -1.596	   -0.326
      	    0.114	    0.131	    3.212	    0.495
      	    0.057	    0.001	    0.623	    0.035
      	    0.245	    0.001	    0.027	    0.015
      	    0.065	    0.001	   -0.066	   -0.021
      	    0.016	    0.000	   -0.073	    0.001
      	   -0.067	    0.000	    0.019	    0.002
      	    0.011	    0.000	   -0.008	   -0.001
      	    0.003	    0.000	    0.022	    0.000
      	    0.015	    0.000	    0.000	    0.000
      	    0.003	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.005	    0.000
      	   -0.005	    0.000	    0.000	    0.000
      	    0.001	    0.000	    0.000	    0.000
1290.0	    2.331	    0.388	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.227	   -0.287	    0.000	    0.000
      	    0.317	   -0.048	    0.000	    0.000
      	    1.826	   -2.962	   -1.566	   -0.350
      	    0.123	    0.111	    3.232	    0.559
      	    0.058	    0.001	    0.632	    0.038
      	    0.246	    0.001	    0.030	    0.017
      	    0.066	    0.001	   -0.069	   -0.022
      	    0.017	    0.000	   -0.073	    0.001
      	   -0.067	    0.000	    0.020	    0.002
      	    0.012	    0.000	   -0.009	   -0.001
      	    0.003	    0.000	    0.023	    0.000
      	    0.015	    0.000	    0.000	    0.000
      	    0.003	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.000	    0.000
      	    0.001	    0.000	    0.000	    0.000
1295.0	    2.336	    0.388	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.213	   -0.297	    0.000	    0.000
      	    0.325	   -0.055	    0.000	    0.000
      	    1.817	   -2.754	   -1.534	   -0.373
      	    0.132	    0.094	    3.248	    0.628
      	    0.060	    0.001	    0.640	    0.041
      	    0.246	    0.001	    0.033	    0.018
      	    0.068	    0.001	   -0.072	   -0.024
      	    0.017	    0.000	   -0.073	    0.001
      	   -0.068	    0.000	    0.021	    0.002
      	    0.013	    0.000	   -0.010	   -0.001
      	    0.003	    0.000	    0.023	    0.000
      	    0.015	    0.000	    0.000	    0.000
      	    0.004	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.000	    0.000
      	    0.001	    0.000	    0.000	    0.000
1300.0	    2.341	    0.393	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.199	   -0.308	    0.000	    0.000
      	    0.334	   -0.061	    0.000	    0.000
      	    1.801	   -2.561	   -1.500	   -0.397
      	    0.142	    0.079	    3.259	    0.702
      	    0.062	    0.001	    0.649	    0.044
      	    0.247	    0.001	    0.036	    0.020
      	    0.069	    0.001	   -0.075	   -0.026
      	    0.018	    0.000	   -0.073	    0.001
      	   -0.069	    0.000	    0.022	    0.002
      	    0.013	    0.000	   -0.011	   -0.001
      	    0.003	    0.000	    0.023	    0.000
      	    0.015	    0.000	    0.000	    0.000
      	    0.004	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.000	    0.000
      	    0.001	    0.000	    0.000	    0.000
1305.0	    2.347	    0.394	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.184	   -0.318	    0.000	    0.000
      	    0.342	   -0.066	    0.000	    0.000
      	    1.774	   -2.387	   -1.464	   -0.420
      	    0.151	    0.065	    3.266	    0.780
      	    0.063	    0.001	    0.658	    0.047
      	    0.247	    0.001	    0.040	    0.022
      	    0.071	    0.001	   -0.078	   -0.028
      	    0.018	    0.000	   -0.073	    0.001
      	   -0.069	    0.000	    0.023	    0.002
      	    0.014	    0.000	   -0.011	   -0.001
      	    0.003	    0.000	    0.023	    0.000
      	    0.015	    0.000	    0.000	    0.000
      	    0.004	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.000	    0.000
      	    0.001	    0.000	    0.000	    0.000
1310.0	    2.353	    0.396	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.169	   -0.327	    0.000	    0.000
      	    0.349	   -0.070	    0.000	    0.000
      	    1.741	   -2.227	   -1.426	   -0.443
      	    0.161	    0.052	    3.266	    0.863
      	    0.065	    0.001	    0.666	    0.050
      	    0.247	    0.001	    0.043	    0.025
      	    0.073	    0.001	   -0.081	   -0.030
      	    0.019	    0.000	   -0.073	    0.001
      	   -0.070	    0.000	    0.024	    0.002
      	    0.014	    0.000	   -0.012	   -0.001
      	    0.003	    0.000	    0.024	    0.000
      	    0.015	    0.000	    0.000	    0.000
      	    0.004	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.000	    0.000
      	    0.001	    0.000	    0.000	    0.000
1315.0	    2.360	    0.398	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.153	   -0.337	    0.000	    0.000
      	    0.357	   -0.074	    0.000	    0.000
      	    1.705	   -2.079	   -1.386	   -0.464
      	    0.171	    0.041	    3.260	    0.950
      	    0.066	    0.001	    0.675	    0.054
      	    0.247	    0.001	    0.047	    0.027
      	    0.074	    0.001	   -0.085	   -0.032
      	    0.019	    0.000	   -0.072	    0.001
      	   -0.071	    0.000	    0.025	    0.002
      	    0.015	    0.000	   -0.013	   -0.001
      	    0.004	    0.000	    0.024	    0.000
      	    0.016	    0.000	    0.000	    0.000
      	    0.004	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.001	    0.000
      	    0.001	    0.000	    0.000	    0.000
1320.0	    2.368	    0.401	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.137	   -0.346	    0.000	    0.000
      	    0.364	   -0.077	    0.000	    0.000
      	    1.665	   -1.943	   -1.344	   -0.485
      	    0.181	    0.030	    3.244	    1.042
      	    0.068	    0.001	    0.684	    0.058
      	    0.248	    0.001	    0.051	    0.030
      	    0.076	    0.001	   -0.089	   -0.034
      	    0.020	    0.000	   -0.072	    0.002
      	   -0.071	   -0.001	    0.026	    0.003
      	    0.016	    0.000	   -0.014	   -0.001
      	    0.004	    0.000	    0.024	    0.000
      	    0.016	    0.000	    0.000	    0.000
      	    0.004	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.001	    0.000
      	    0.001	    0.000	    0.000	    0.000
1325.0	    2.375	    0.404	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.120	   -0.355	    0.000	    0.000
      	    0.371	   -0.080	    0.000	    0.000
      	    1.624	   -1.817	   -1.299	   -0.503
      	    0.190	    0.021	    3.221	    1.136
      	    0.069	    0.001	    0.693	    0.062
      	    0.248	    0.002	    0.056	    0.033
      	    0.077	    0.001	   -0.093	   -0.037
      	    0.020	    0.000	   -0.072	    0.002
      	   -0.072	   -0.001	    0.027	    0.003
      	    0.016	    0.000	   -0.015	   -0.001
      	    0.004	    0.000	    0.025	    0.000
      	    0.016	    0.000	    0.000	    0.000
      	    0.005	    0.000	    0.000	    0.000
      	    0.001	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.001	    0.000
      	    0.001	    0.000	   -0.001	    0.000
1330.0	    2.384	    0.408	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.103	   -0.364	    0.000	    0.000
      	    0.378	   -0.082	    0.000	    0.000
      	    1.580	   -1.701	   -1.252	   -0.519
      	    0.199	    0.013	    3.187	    1.233
      	    0.071	    0.001	    0.701	    0.066
      	    0.248	    0.002	    0.060	    0.036
      	    0.079	    0.001	   -0.097	   -0.040
      	    0.021	    0.000	   -0.072	    0.002
      	   -0.073	   -0.001	    0.028	    0.003
      	    0.017	    0.000	   -0.016	   -0.001
      	    0.004	    0.000	    0.025	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.005	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.001	    0.000
      	    0.001	    0.000	   -0.001	    0.000
1335.0	    2.394	    0.412	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.085	   -0.373	    0.000	    0.000
      	    0.384	   -0.085	    0.000	    0.000
      	    1.536	   -1.594	   -1.202	   -0.532
      	    0.208	    0.005	    3.141	    1.332
      	    0.072	    0.001	    0.710	    0.071
      	    0.248	    0.002	    0.065	    0.039
      	    0.080	    0.001	   -0.102	   -0.043
      	    0.022	    0.000	   -0.071	    0.002
      	   -0.073	   -0.001	    0.030	    0.003
      	    0.017	    0.000	   -0.016	   -0.001
      	    0.004	    0.000	    0.025	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.005	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.001	    0.000
      	    0.001	    0.000	   -0.001	    0.000
1340.0	    2.404	    0.417	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.066	   -0.381	    0.000	    0.000
      	    0.391	   -0.086	    0.000	    0.000
      	    1.491	   -1.493	   -1.151	   -0.541
      	    0.217	   -0.002	    3.085	    1.431
      	    0.074	    0.001	    0.720	    0.076
      	    0.248	    0.002	    0.071	    0.043
      	    0.082	    0.001	   -0.107	   -0.046
      	    0.022	    0.000	   -0.071	    0.002
      	   -0.074	   -0.001	    0.031	    0.003
      	    0.018	    0.000	   -0.017	   -0.001
      	    0.005	    0.000	    0.025	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.005	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.001	    0.000
      	    0.001	    0.000	   -0.001	    0.000
1345.0	    2.415	    0.423	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.047	   -0.390	    0.000	    0.000
      	    0.397	   -0.088	    0.000	    0.000
      	    1.447	   -1.400	   -1.099	   -0.547
      	    0.226	   -0.009	    3.017	    1.527
      	    0.075	    0.002	    0.729	    0.082
      	    0.248	    0.002	    0.076	    0.047
      	    0.084	    0.001	   -0.112	   -0.050
      	    0.023	    0.000	   -0.070	    0.002
      	   -0.074	   -0.001	    0.032	    0.004
      	    0.019	    0.000	   -0.018	   -0.001
      	    0.005	    0.000	    0.026	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.005	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.001	    0.000
      	    0.001	    0.000	   -0.001	    0.000
1350.0	    2.427	    0.429	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.028	   -0.398	    0.000	    0.000
      	    0.402	   -0.089	    0.000	    0.000
      	    1.402	   -1.314	   -1.047	   -0.548
      	    0.234	   -0.014	    2.938	    1.619
      	    0.077	    0.002	    0.738	    0.088
      	    0.248	    0.002	    0.082	    0.052
      	    0.085	    0.002	   -0.117	   -0.054
      	    0.023	    0.000	   -0.070	    0.002
      	   -0.075	   -0.001	    0.033	    0.004
      	    0.019	    0.000	   -0.019	   -0.002
      	    0.005	    0.000	    0.026	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.006	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.005	    0.000	    0.001	    0.000
      	    0.002	    0.000	   -0.001	    0.000
1355.0	    2.441	    0.437	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    2.008	   -0.407	    0.000	    0.000
      	    0.408	   -0.090	    0.000	    0.000
      	    1.357	   -1.232	   -0.994	   -0.545
      	    0.242	   -0.020	    2.848	    1.706
      	    0.078	    0.002	    0.747	    0.094
      	    0.248	    0.002	    0.088	    0.057
      	    0.087	    0.002	   -0.123	   -0.058
      	    0.024	    0.000	   -0.069	    0.002
      	   -0.075	   -0.001	    0.035	    0.004
      	    0.020	    0.000	   -0.020	   -0.002
      	    0.005	    0.000	    0.026	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.006	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.002	    0.000	   -0.001	    0.000
1360.0	    2.455	    0.445	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.987	   -0.415	    0.000	    0.000
      	    0.413	   -0.091	    0.000	    0.000
      	    1.313	   -1.157	   -0.943	   -0.536
      	    0.250	   -0.025	    2.748	    1.786
      	    0.079	    0.002	    0.757	    0.101
      	    0.248	    0.002	    0.095	    0.062
      	    0.088	    0.002	   -0.129	   -0.063
      	    0.024	    0.000	   -0.068	    0.003
      	   -0.076	   -0.001	    0.036	    0.005
      	    0.021	    0.000	   -0.021	   -0.002
      	    0.006	    0.000	    0.026	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.006	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.002	    0.000	   -0.001	    0.000
1365.0	    2.471	    0.454	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.965	   -0.423	    0.000	    0.000
      	    0.418	   -0.092	    0.000	    0.000
      	    1.269	   -1.085	   -0.892	   -0.523
      	    0.257	   -0.029	    2.639	    1.857
      	    0.081	    0.002	    0.767	    0.108
      	    0.248	    0.003	    0.102	    0.069
      	    0.090	    0.002	   -0.136	   -0.068
      	    0.025	    0.000	   -0.067	    0.003
      	   -0.076	   -0.001	    0.038	    0.005
      	    0.021	    0.000	   -0.023	   -0.002
      	    0.006	    0.000	    0.027	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.006	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.002	    0.000	   -0.001	    0.000
1370.0	    2.488	    0.465	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.943	   -0.431	    0.000	    0.000
      	    0.423	   -0.092	    0.000	    0.000
      	    1.226	   -1.019	   -0.845	   -0.505
      	    0.264	   -0.033	    2.523	    1.918
      	    0.082	    0.002	    0.776	    0.116
      	    0.248	    0.003	    0.109	    0.075
      	    0.091	    0.002	   -0.142	   -0.073
      	    0.025	    0.000	   -0.067	    0.003
      	   -0.077	   -0.001	    0.039	    0.005
      	    0.022	    0.000	   -0.024	   -0.002
      	    0.006	    0.000	    0.027	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.007	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.002	    0.000	   -0.001	    0.000
1375.0	    2.507	    0.477	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.920	   -0.439	    0.000	    0.000
      	    0.428	   -0.093	    0.000	    0.000
      	    1.183	   -0.956	   -0.801	   -0.484
      	    0.271	   -0.037	    2.404	    1.967
      	    0.083	    0.002	    0.786	    0.124
      	    0.248	    0.003	    0.117	    0.083
      	    0.093	    0.002	   -0.150	   -0.079
      	    0.026	    0.000	   -0.066	    0.003
      	   -0.078	   -0.001	    0.041	    0.006
      	    0.023	    0.000	   -0.025	   -0.002
      	    0.006	    0.000	    0.027	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.007	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.002	    0.000	   -0.001	    0.000
1380.0	    2.527	    0.490	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.896	   -0.447	    0.000	    0.000
      	    0.433	   -0.093	    0.000	    0.000
      	    1.142	   -0.898	   -0.761	   -0.460
      	    0.278	   -0.041	    2.283	    2.004
      	    0.084	    0.002	    0.796	    0.133
      	    0.248	    0.003	    0.125	    0.091
      	    0.094	    0.002	   -0.157	   -0.086
      	    0.026	    0.000	   -0.065	    0.003
      	   -0.078	   -0.001	    0.042	    0.006
      	    0.023	    0.000	   -0.026	   -0.002
      	    0.006	    0.000	    0.027	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.007	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.002	    0.000	   -0.001	    0.000
1385.0	    2.549	    0.505	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.872	   -0.455	    0.000	    0.000
      	    0.438	   -0.093	    0.000	    0.000
      	    1.101	   -0.842	   -0.725	   -0.434
      	    0.284	   -0.044	    2.161	    2.028
      	    0.086	    0.002	    0.807	    0.143
      	    0.248	    0.003	    0.134	    0.100
      	    0.096	    0.002	   -0.165	   -0.093
      	    0.027	    0.000	   -0.064	    0.003
      	   -0.079	   -0.001	    0.044	    0.006
      	    0.024	    0.000	   -0.027	   -0.003
      	    0.007	    0.000	    0.028	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.007	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.002	    0.000	   -0.001	    0.000
1390.0	    2.573	    0.521	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.846	   -0.463	    0.000	    0.000
      	    0.442	   -0.093	    0.000	    0.000
      	    1.060	   -0.789	   -0.693	   -0.405
      	    0.290	   -0.047	    2.040	    2.042
      	    0.087	    0.002	    0.817	    0.153
      	    0.248	    0.004	    0.143	    0.110
      	    0.097	    0.002	   -0.173	   -0.102
      	    0.027	    0.000	   -0.063	    0.004
      	   -0.079	   -0.001	    0.046	    0.007
      	    0.025	    0.000	   -0.029	   -0.003
      	    0.007	    0.000	    0.028	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.008	    0.000	    0.000	    0.000
      	    0.002	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.002	    0.000	   -0.001	    0.000
1395.0	    2.599	    0.540	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.819	   -0.472	    0.000	    0.000
      	    0.446	   -0.093	    0.000	    0.000
      	    1.021	   -0.740	   -0.666	   -0.376
      	    0.296	   -0.049	    1.923	    2.044
      	    0.088	    0.003	    0.828	    0.164
      	    0.248	    0.004	    0.153	    0.122
      	    0.099	    0.003	   -0.182	   -0.111
      	    0.028	    0.000	   -0.062	    0.004
      	   -0.080	   -0.001	    0.048	    0.007
      	    0.025	    0.000	   -0.030	   -0.003
      	    0.007	    0.000	    0.028	    0.000
      	    0.016	    0.000	    0.001	    0.000
      	    0.008	    0.000	    0.001	    0.000
      	    0.003	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.002	    0.000	   -0.001	    0.000
1400.0	    2.627	    0.560	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.792	   -0.480	    0.000	    0.000
      	    0.450	   -0.093	    0.000	    0.000
      	    0.982	   -0.693	   -0.643	   -0.347
      	    0.302	   -0.052	    1.810	    2.036
      	    0.089	    0.003	    0.838	    0.177
      	    0.248	    0.004	    0.163	    0.134
      	    0.100	    0.003	   -0.191	   -0.121
      	    0.028	    0.000	   -0.061	    0.004
      	   -0.080	   -0.001	    0.050	    0.008
      	    0.026	    0.000	   -0.031	   -0.003
      	    0.007	    0.000	    0.028	    0.000
      	    0.016	    0.000	    0.002	    0.000
      	    0.008	    0.000	    0.001	    0.000
      	    0.003	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.003	    0.000	   -0.001	    0.000
1405.0	    2.659	    0.584	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.763	   -0.488	    0.000	    0.000
      	    0.455	   -0.092	    0.000	    0.000
      	    0.944	   -0.649	   -0.624	   -0.318
      	    0.308	   -0.054	    1.704	    2.020
      	    0.090	    0.003	    0.849	    0.190
      	    0.248	    0.004	    0.173	    0.148
      	    0.102	    0.003	   -0.201	   -0.132
      	    0.029	    0.000	   -0.060	    0.004
      	   -0.080	   -0.001	    0.052	    0.008
      	    0.027	    0.000	   -0.033	   -0.004
      	    0.008	    0.000	    0.029	    0.000
      	    0.016	    0.000	    0.002	    0.000
      	    0.009	    0.000	    0.001	    0.000
      	    0.003	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.003	    0.000	   -0.001	    0.000
1410.0	    2.693	    0.610	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.733	   -0.497	    0.000	    0.000
      	    0.459	   -0.092	    0.000	    0.000
      	    0.906	   -0.608	   -0.608	   -0.291
      	    0.313	   -0.056	    1.603	    1.995
      	    0.091	    0.003	    0.860	    0.205
      	    0.247	    0.005	    0.184	    0.164
      	    0.103	    0.003	   -0.211	   -0.144
      	    0.029	    0.000	   -0.059	    0.005
      	   -0.081	   -0.002	    0.054	    0.009
      	    0.027	    0.000	   -0.034	   -0.004
      	    0.008	    0.000	    0.029	    0.000
      	    0.016	    0.000	    0.002	    0.000
      	    0.009	    0.000	    0.001	    0.000
      	    0.003	    0.000	   -0.006	    0.000
      	   -0.006	    0.000	    0.001	    0.000
      	    0.003	    0.000	   -0.001	    0.000
1415.0	    2.730	    0.639	    0.000	    0.000
      	    0.000	    0.000	    0.000	    0.000
      	    1.702	   -0.506	    0.000	    0.000
      	    0.463	   -0.091	    0.000	    0.000
      	    0.870	   -0.568	   -0.596	   -0.264
      	    0.318	   -0.058	    1.509	    1.965
      	    0.092	    0.003	    0.870	    0.221
      	    0.247	    0.005	    0.195	    0.182
      	    0.105	    0.003	   -0.221	   -0.158
